t	w	alpha
0.147	8.685244054	1.478916417
0.148	8.705976996	1.494568554
0.149	8.726455549	1.510257781
0.15	8.746682835	1.525983643
0.151	8.766661936	1.54174569
0.152	8.786395898	1.557543478
0.153	8.805887728	1.573376569
0.154	8.825140398	1.58924453
0.155	8.844156841	1.605146933
0.156	8.862939957	1.621083354
0.157	8.881492609	1.637053378
0.158	8.899817623	1.653056591
0.159	8.917917793	1.669092586
0.16	8.935795878	1.685160961
0.161	8.953454603	1.701261319
0.162	8.970896659	1.717393267
0.163	8.988124705	1.733556418
0.164	9.005141366	1.749750389
0.165	9.021949236	1.765974801
0.166	9.038550878	1.782229282
0.167	9.054948821	1.798513462
0.168	9.071145565	1.814826977
0.169	9.087143578	1.831169466
0.17	9.102945299	1.847540575
0.171	9.118553136	1.863939953
0.172	9.133969469	1.880367251
0.173	9.149196646	1.896822129
0.174	9.16423699	1.913304247
0.175	9.179092791	1.929813271
0.176	9.193766315	1.946348871
0.177	9.208259798	1.962910721
0.178	9.222575449	1.979498499
0.179	9.236715451	1.996111887
0.18	9.250681957	2.012750571
0.181	9.264477097	2.029414239
0.182	9.278102974	2.046102586
0.183	9.291561665	2.062815309
0.184	9.30485522	2.079552109
0.185	9.317985666	2.09631269
0.186	9.330955004	2.11309676
0.187	9.343765212	2.129904032
0.188	9.35641824	2.146734221
0.189	9.368916019	2.163587044
0.19	9.381260453	2.180462226
0.191	9.393453423	2.197359491
0.192	9.405496789	2.214278568
0.193	9.417392384	2.23121919
0.194	9.429142024	2.248181093
0.195	9.440747497	2.265164015
0.196	9.452210575	2.282167698
0.197	9.463533002	2.299191888
0.198	9.474716506	2.316236333
0.199	9.485762791	2.333300785
0.2	9.49667354	2.350384998
0.201	9.507450416	2.367488729
0.202	9.518095063	2.38461174
0.203	9.528609102	2.401753793
0.204	9.538994136	2.418914655
0.205	9.549251748	2.436094095
0.206	9.559383501	2.453291885
0.207	9.56939094	2.470507801
0.208	9.57927559	2.487741619
0.209	9.589038957	2.50499312
0.21	9.59868253	2.522262087
0.211	9.608207778	2.539548306
0.212	9.617616154	2.556851565
0.213	9.626909091	2.574171655
0.214	9.636088005	2.591508369
0.215	9.645154296	2.608861504
0.216	9.654109346	2.626230857
0.217	9.662954519	2.643616231
0.218	9.671691164	2.661017428
0.219	9.680320612	2.678434255
0.22	9.688844178	2.695866519
0.221	9.697263162	2.713314031
0.222	9.705578848	2.730776604
0.223	9.713792501	2.748254053
0.224	9.721905375	2.765746196
0.225	9.729918705	2.783252853
0.226	9.737833714	2.800773845
0.227	9.745651607	2.818308996
0.228	9.753373576	2.835858133
0.229	9.761000799	2.853421084
0.23	9.768534437	2.870997679
0.231	9.775975639	2.888587752
0.232	9.783325539	2.906191136
0.233	9.790585257	2.92380767
0.234	9.7977559	2.94143719
0.235	9.804838561	2.959079538
0.236	9.811834319	2.976734556
