t	alpha1	alpha2	alpha3	alpha4
0.275	3.696964256	3.322469385	2.947974515	2.198984773
0.276	3.715902872	3.339600179	2.963297487	2.210692102
0.277	3.734849278	3.356738148	2.978627018	2.222404757
0.278	3.753803371	3.373883195	2.993963019	2.234122668
0.279	3.772765047	3.391035226	3.009305405	2.245845763
0.28	3.791734207	3.408194149	3.02465409	2.257573974
0.281	3.81071075	3.42535987	3.040008991	2.269307232
0.282	3.829694577	3.442532301	3.055370024	2.281045471
0.283	3.848685593	3.459711351	3.070737109	2.292788624
0.284	3.8676837	3.476896932	3.086110163	2.304536626
0.285	3.886688805	3.494088956	3.101489108	2.316289411
0.286	3.905700814	3.511287339	3.116873865	2.328046916
0.287	3.924719635	3.528491996	3.132264357	2.339809079
0.288	3.943745177	3.545702842	3.147660507	2.351575836
0.289	3.962777351	3.562919795	3.163062239	2.363347128
0.29	3.981816068	3.580142774	3.17846948	2.375122893
0.291	4.000861242	3.597371699	3.193882156	2.386903071
0.292	4.019912785	3.61460649	3.209300195	2.398687605
0.293	4.038970613	3.631847069	3.224723524	2.410476435
0.294	4.058034643	3.649093359	3.240152074	2.422269505
0.295	4.077104792	3.666345284	3.255585775	2.434066759
0.296	4.096180978	3.683602768	3.271024558	2.445868139
0.297	4.11526312	3.700865738	3.286468356	2.457673592
0.298	4.13435114	3.71813412	3.301917101	2.469483063
0.299	4.153444958	3.735407843	3.317370728	2.481296499
0.3	4.172544498	3.752686835	3.332829172	2.493113846
0.301	4.191649684	3.769971026	3.348292368	2.504935053
0.302	4.21076044	3.787260347	3.363760254	2.516760068
0.303	4.229876691	3.804554728	3.379232765	2.52858884
0.304	4.248998365	3.821854104	3.394709842	2.540421319
0.305	4.26812539	3.839158407	3.410191423	2.552257456
0.306	4.287257693	3.856467571	3.425677448	2.564097203
0.307	4.306395206	3.873781532	3.441167858	2.57594051
0.308	4.325537857	3.891100226	3.456662594	2.587787331
0.309	4.344685579	3.908423589	3.472161599	2.599637618
0.31	4.363838305	3.92575156	3.487664815	2.611491326
0.311	4.382995967	3.943084077	3.503172188	2.623348409
0.312	4.402158499	3.96042108	3.51868366	2.635208822
0.313	4.421325837	3.977762508	3.534199179	2.64707252
0.314	4.440497917	3.995108303	3.549718689	2.65893946
0.315	4.459674676	4.012458406	3.565242137	2.670809598
0.316	4.47885605	4.029812761	3.580769471	2.682682892
0.317	4.498041979	4.04717131	3.59630064	2.694559301
0.318	4.517232402	4.064533997	3.611835592	2.706438781
0.319	4.536427259	4.081900768	3.627374276	2.718321293
0.32	4.555626491	4.099271567	3.642916643	2.730206795
0.321	4.57483004	4.116646342	3.658462644	2.742095249
0.322	4.594037847	4.134025039	3.674012231	2.753986615
0.323	4.613249857	4.151407606	3.689565355	2.765880853
0.324	4.632466013	4.168793991	3.705121969	2.777777926
0.325	4.65168626	4.186184144	3.720682028	2.789677796
