t	w1	w2	w3	w4
0.107	7.106168332	6.385846789	5.665525246	4.22488216
0.108	7.14432986	6.420990284	5.697650707	4.250971553
0.109	7.181982798	6.455665415	5.729348032	4.276713266
0.11	7.219133916	6.489878418	5.760622921	4.302111926
0.111	7.255789895	6.523635446	5.791480996	4.327172097
0.112	7.29195733	6.556942569	5.821927808	4.351898285
0.113	7.327642726	6.589805779	5.851968832	4.376294937
0.114	7.362852505	6.622230988	5.881609472	4.400366439
0.115	7.397593	6.654224031	5.910855061	4.424117123
0.116	7.431870463	6.685790662	5.939710861	4.447551259
0.117	7.465691064	6.716936564	5.968182064	4.470673064
0.118	7.499060888	6.74766734	5.996273793	4.493486697
0.119	7.531985941	6.777988522	6.023991103	4.515996265
0.12	7.564472149	6.807905566	6.051338983	4.538205818
0.121	7.59652536	6.837423858	6.078322356	4.560119352
0.122	7.628151343	6.86654871	6.104946077	4.581740811
0.123	7.659355792	6.895285366	6.13121494	4.603074087
0.124	7.690144323	6.923638998	6.157133672	4.62412302
0.125	7.72052248	6.951614709	6.182706939	4.644891399
0.126	7.75049573	6.979217538	6.207939346	4.665382961
0.127	7.780069471	7.006452452	6.232835433	4.685601396
0.128	7.809249026	7.033324355	6.257399685	4.705550343
0.129	7.838039648	7.059838085	6.281636521	4.725233394
0.13	7.866446522	7.085998415	6.305550307	4.744654093
0.131	7.894474762	7.111810055	6.329145348	4.763815934
0.132	7.922129413	7.137277652	6.352425891	4.782722369
0.133	7.949415456	7.162405792	6.375396129	4.801376802
0.134	7.976337802	7.187198999	6.398060196	4.81978259
0.135	8.0029013	7.211661737	6.420422174	4.837943047
0.136	8.029110733	7.235798411	6.442486089	4.855861444
0.137	8.054970818	7.259613365	6.464255913	4.873541007
0.138	8.080486213	7.283110889	6.485735566	4.890984918
0.139	8.105661512	7.306295214	6.506928916	4.908196319
0.14	8.130501248	7.329170513	6.527839778	4.925178309
0.141	8.155009892	7.351740905	6.548471918	4.941933944
0.142	8.17919186	7.374010455	6.568829051	4.958466243
0.143	8.203051503	7.395983173	6.588914843	4.974778182
0.144	8.22659312	7.417663014	6.608732909	4.990872697
0.145	8.249820948	7.439053883	6.628286818	5.006752688
0.146	8.27273917	7.460159631	6.647580092	5.022421013
0.147	8.295351913	7.480984058	6.666616203	5.037880494
0.148	8.317663248	7.501530915	6.685398581	5.053133913
0.149	8.339677194	7.5218039	6.703930606	5.068184019
0.15	8.361397713	7.541806665	6.722215616	5.08303352
0.151	8.382828717	7.56154281	6.740256904	5.097685091
0.152	8.403974065	7.581015891	6.758057717	5.112141369
0.153	8.424837564	7.600229412	6.775621261	5.126404958
0.154	8.445422971	7.619186835	6.792950699	5.140478426
0.155	8.465733993	7.637891571	6.81004915	5.154364308
0.156	8.485774287	7.656346991	6.826919695	5.168065103
0.157	8.505547461	7.674556415	6.84356537	5.181583278
0.158	8.525057077	7.692523125	6.859989173	5.194921269
0.159	8.544306646	7.710250354	6.876194061	5.208081475
0.16	8.563299636	7.727741294	6.892182952	5.221066268
0.161	8.582039466	7.744999096	6.907958726	5.233877985
0.162	8.600529511	7.762026867	6.923524222	5.246518933
0.163	8.6187731	7.778827672	6.938882244	5.258991389
0.164	8.636773517	7.795404537	6.954035557	5.271297597
0.165	8.654534005	7.811760448	6.96898689	5.283439775
0.166	8.672057761	7.827898348	6.983738935	5.295420108
0.167	8.689347941	7.843821144	6.998294347	5.307240754
0.168	8.706407658	7.859531704	7.012655749	5.318903841
0.169	8.723239984	7.875032855	7.026825726	5.330411469
0.17	8.73984795	7.89032739	7.04080683	5.341765711
0.171	8.756234546	7.905418062	7.054601578	5.35296861
0.172	8.772402723	7.920307589	7.068212454	5.364022185
0.173	8.788355393	7.934998651	7.081641909	5.374928425
0.174	8.804095428	7.949493894	7.094892361	5.385689295
0.175	8.819625661	7.963795929	7.107966197	5.396306732
0.176	8.83494889	7.97790733	7.120865769	5.406782648
0.177	8.850067875	7.991830638	7.133593401	5.417118928
0.178	8.864985336	8.005568361	7.146151386	5.427317436
0.179	8.87970396	8.019122972	7.158541983	5.437380006
0.18	8.894226399	8.032496912	7.170767425	5.447308451
0.181	8.908555265	8.045692589	7.182829912	5.457104558
0.182	8.922693141	8.058712379	7.194731617	5.466770092
0.183	8.936642571	8.071558627	7.206474682	5.476306793
0.184	8.950406067	8.084233645	7.218061223	5.485716378
0.185	8.963986108	8.096739717	7.229493325	5.495000542
0.186	8.977385139	8.109079093	7.240773047	5.504160955
0.187	8.990605573	8.121253997	7.251902421	5.513199269
0.188	9.00364979	8.13326662	7.26288345	5.522117109
0.189	9.016520139	8.145119125	7.273718111	5.530916083
0.19	9.029218937	8.156813646	7.284408356	5.539597774
0.191	9.041748472	8.16835229	7.294956109	5.548163746
0.192	9.054110999	8.179737134	7.30536327	5.556615541
0.193	9.066308744	8.190970228	7.315631712	5.56495468
0.194	9.078343904	8.202053594	7.325763285	5.573182667
0.195	9.090218645	8.212989229	7.335759813	5.581300981
0.196	9.101935107	8.223779102	7.345623096	5.589311086
0.197	9.113495399	8.234425155	7.355354911	5.597214422
0.198	9.124901602	8.244929305	7.364957008	5.605012414
0.199	9.136155771	8.255293444	7.374431118	5.612706466
0.2	9.147259931	8.265519439	7.383778947	5.620297963
0.201	9.158216082	8.27560913	7.393002177	5.627788272
0.202	9.169026198	8.285564334	7.40210247	5.635178742
0.203	9.179692224	8.295386844	7.411081463	5.642470703
0.204	9.190216081	8.305078428	7.419940775	5.649665468
0.205	9.200599665	8.314640832	7.428681999	5.656764334
0.206	9.210844845	8.324075778	7.437306711	5.663768578
0.207	9.220953465	8.333384964	7.445816463	5.670679462
0.208	9.230927346	8.342570067	7.454212788	5.677498229
0.209	9.240768284	8.35163274	7.462497196	5.684226109
0.21	9.250478051	8.360574616	7.470671181	5.690864311
0.211	9.260058395	8.369397305	7.478736214	5.697414032
0.212	9.269511042	8.378102395	7.486693747	5.703876452
0.213	9.278837693	8.386691453	7.494545213	5.710252732
0.214	9.288040029	8.395166027	7.502292026	5.716544023
0.215	9.297119705	8.403527642	7.50993558	5.722751456
0.216	9.306078357	8.411777805	7.517477253	5.72887615
0.217	9.314917597	8.419918	7.524918402	5.734919206
0.218	9.323639019	8.427949693	7.532260367	5.740881714
0.219	9.332244192	8.435874331	7.53950447	5.746764747
0.22	9.340734665	8.44369334	7.546652015	5.752569365
