t	I1	I2	I3	I4	i5
0.208	4.936185675	5.084257816	5.27251378	5.485782741	6.170404663
0.209	4.933170518	5.079104039	5.265255669	5.476641857	6.157317537
0.21	4.930222117	5.074043703	5.258109047	5.467622814	6.14435539
0.211	4.927338993	5.069075114	5.251072201	5.458723986	6.13151703
0.212	4.924519702	5.064196608	5.244143446	5.449943772	6.118801274
0.213	4.92176283	5.059406554	5.237321121	5.441280591	6.106206951
0.214	4.919066995	5.054703346	5.230603591	5.432732882	6.093732902
0.215	4.916430847	5.05008541	5.223989247	5.424299107	6.081377977
0.216	4.913853062	5.0455512	5.217476503	5.415977747	6.06914104
0.217	4.91133235	5.041099199	5.211063799	5.407767303	6.057020964
0.218	4.908867447	5.036727915	5.204749598	5.399666297	6.045016632
0.219	4.906457117	5.032435885	5.198532388	5.39167327	6.03312694
0.22	4.904100151	5.028221673	5.192410677	5.383786784	6.021350792
0.221	4.901795369	5.024083867	5.186383	5.376005417	6.009687104
0.222	4.899541615	5.020021082	5.180447912	5.368327769	5.998134803
0.223	4.897337759	5.016031958	5.174603991	5.360752458	5.986692824
0.224	4.895182696	5.012115159	5.168849836	5.353278119	5.975360114
0.225	4.893075347	5.008269375	5.163184069	5.345903406	5.964135629
0.226	4.891014655	5.004493317	5.157605331	5.338626992	5.953018336
0.227	4.888999586	5.000785721	5.152112286	5.331447565	5.942007211
0.228	4.887029131	4.997145346	5.146703618	5.324363835	5.931101241
0.229	4.885102302	4.993570974	5.14137803	5.317374524	5.920299421
0.23	4.883218133	4.990061408	5.136134247	5.310478375	5.909600756
0.231	4.88137568	4.986615472	5.130971012	5.303674145	5.899004262
0.232	4.879574019	4.983232013	5.125887087	5.29696061	5.888508962
0.233	4.877812246	4.979909899	5.120881255	5.29033656	5.878113891
0.234	4.87608948	4.976648016	5.115952315	5.283800803	5.86781809
0.235	4.874404855	4.973445274	5.111099087	5.277352162	5.857620613
0.236	4.872757528	4.970300599	5.106320408	5.270989476	5.84752052
0.237	4.871146673	4.967212939	5.101615132	5.264711598	5.837516881
0.238	4.869571482	4.964181261	5.096982132	5.2585174	5.827608776
0.239	4.868031167	4.961204549	5.092420298	5.252405764	5.81779529
