t	I1	I2	I3	I4
0.164	5.461692569	3.924011557	3.049834242	2.563826801
0.165	5.435840309	3.903697824	3.037286005	2.559071256
0.166	5.410206339	3.883654854	3.024980074	2.554453754
0.167	5.384788816	3.863879039	3.012911768	2.549970288
0.168	5.359585913	3.844366817	3.001076499	2.545616967
0.169	5.334595817	3.825114676	2.989469768	2.541390013
0.17	5.309816731	3.806119148	2.978087161	2.537285758
0.171	5.285246874	3.787376814	2.966924351	2.53330064
0.172	5.26088448	3.768884299	2.955977094	2.529431202
0.173	5.236727796	3.750638272	2.945241226	2.525674085
0.174	5.212775085	3.732635448	2.934712668	2.52202603
0.175	5.189024626	3.714872587	2.924387414	2.518483869
0.176	5.165474711	3.697346488	2.91426154	2.51504453
0.177	5.142123645	3.680053997	2.904331196	2.511705027
0.178	5.118969751	3.662991999	2.894592605	2.508462463
0.179	5.096011363	3.646157423	2.885042066	2.505314024
0.18	5.07324683	3.629547236	2.875675947	2.502256977
0.181	5.050674517	3.613158449	2.866490686	2.49928867
0.182	5.028292798	3.59698811	2.857482792	2.496406526
0.183	5.006100067	3.581033308	2.84864884	2.493608046
0.184	4.984094725	3.565291168	2.83998547	2.490890799
0.185	4.962275192	3.549758858	2.831489389	2.488252428
0.186	4.940639898	3.53443358	2.823157367	2.485690643
0.187	4.919187288	3.519312574	2.814986235	2.483203222
0.188	4.897915819	3.504393118	2.806972887	2.480788005
0.189	4.876823962	3.489672525	2.799114276	2.478442897
0.19	4.8559102	3.475148145	2.791407414	2.476165862
0.191	4.835173028	3.460817362	2.783849371	2.473954925
0.192	4.814610957	3.446677595	2.776437273	2.471808167
0.193	4.794222508	3.4327263	2.769168302	2.469723725
0.194	4.774006214	3.418960963	2.762039695	2.46769979
0.195	4.753960623	3.405379105	2.75504874	2.465734606
0.196	4.734084291	3.391978283	2.748192779	2.463826466
0.197	4.714375792	3.378756081	2.741469207	2.461973716
0.198	4.694833706	3.365710119	2.734875466	2.460174748
0.199	4.67545663	3.352838049	2.72840905	2.458428
0.2	4.656243169	3.340137553	2.7220675	2.456731956
0.201	4.637191943	3.327606342	2.715848404	2.455085145
0.202	4.618301581	3.315242162	2.709749399	2.453486137
0.203	4.599570725	3.303042786	2.703768165	2.451933546
0.204	4.580998029	3.291006016	2.697902428	2.450426022
0.205	4.562582156	3.279129686	2.692149958	2.44896226
0.206	4.544321783	3.267411657	2.686508567	2.447540987
0.207	4.526215596	3.25584982	2.680976112	2.44616097
0.208	4.508262295	3.244442091	2.675550487	2.444821013
0.209	4.490460587	3.233186417	2.670229631	2.443519952
0.21	4.472809192	3.222080772	2.665011521	2.442256658
0.211	4.455306842	3.211123155	2.659894171	2.441030035
0.212	4.437952279	3.200311594	2.654875637	2.439839018
0.213	4.420744253	3.189644141	2.649954011	2.438682574
0.214	4.403681528	3.179118876	2.64512742	2.437559699
0.215	4.386762878	3.168733904	2.640394031	2.436469418
0.216	4.369987084	3.158487354	2.635752043	2.435410787
0.217	4.353352942	3.148377382	2.631199691	2.434382885
0.218	4.336859255	3.138402167	2.626735245	2.433384821
0.219	4.320504837	3.128559913	2.622357007	2.432415729
0.22	4.304288512	3.118848847	2.618063313	2.431474767
0.221	4.288209114	3.109267221	2.613852529	2.43056112
0.222	4.272265487	3.09981331	2.609723055	2.429673994
0.223	4.256456485	3.090485412	2.605673321	2.428812619
0.224	4.24078097	3.081281846	2.601701787	2.427976249
0.225	4.225237816	3.072200956	2.597806943	2.427164156
0.226	4.209825905	3.063241105	2.593987308	2.426375637
0.227	4.194544129	3.054400682	2.59024143	2.425610007
0.228	4.179391389	3.045678094	2.586567885	2.424866601
0.229	4.164366595	3.037071771	2.582965275	2.424144776
0.23	4.149468668	3.028580162	2.579432231	2.423443903
0.231	4.134696535	3.020201739	2.57596741	2.422763375
0.232	4.120049135	3.011934993	2.572569495	2.422102601
0.233	4.105525414	3.003778435	2.569237193	2.421461008
0.234	4.091124329	2.995730597	2.565969237	2.42083804
0.235	4.076844843	2.98779003	2.562764386	2.420233155
0.236	4.06268593	2.979955304	2.559621419	2.419645828
0.237	4.048646572	2.972225007	2.556539144	2.41907555
0.238	4.034725759	2.964597749	2.553516386	2.418521827
0.239	4.02092249	2.957072156	2.550551998	2.417984176
0.24	4.007235773	2.949646872	2.547644852	2.417462133
0.241	3.993664624	2.94232056	2.544793843	2.416955243
0.242	3.980208067	2.935091902	2.541997886	2.416463068
0.243	3.966865134	2.927959595	2.539255919	2.415985179
0.244	3.953634866	2.920922356	2.5365669	2.415521162
0.245	3.940516311	2.913978918	2.533929804	2.415070615
0.246	3.927508526	2.907128029	2.531343632	2.414633147
0.247	3.914610577	2.900368456	2.528807397	2.414208377
0.248	3.901821535	2.893698983	2.526320138	2.413795937
0.249	3.88914048	2.887118408	2.523880907	2.413395469
0.25	3.876566502	2.880625546	2.521488777	2.413006627
0.251	3.864098696	2.874219228	2.519142839	2.412629071
0.252	3.851736165	2.867898301	2.516842201	2.412262475
0.253	3.839478021	2.861661627	2.514585989	2.411906521
0.254	3.827323382	2.855508081	2.512373343	2.4115609
0.255	3.815271374	2.849436558	2.510203424	2.411225311
0.256	3.80332113	2.843445962	2.508075405	2.410899463
0.257	3.791471792	2.837535215	2.505988478	2.410583074
0.258	3.779722507	2.831703254	2.50394185	2.410275869
0.259	3.76807243	2.825949028	2.501934742	2.409977582
0.26	3.756520724	2.8202715	2.499966391	2.409687954
0.261	3.745066558	2.814669649	2.498036048	2.409406732
0.262	3.733709109	2.809142466	2.496142981	2.409133675
0.263	3.72244756	2.803688955	2.494286468	2.408868543
0.264	3.7112811	2.798308135	2.492465805	2.408611107
0.265	3.700208928	2.792999036	2.490680298	2.408361145
