t	U1	U2	U3	U4
0.147	9.989999896	9.989999896	9.989999896	9.989999896
0.148	9.989999908	9.989999908	9.989999908	9.989999908
0.149	9.989999919	9.989999919	9.989999919	9.989999919
0.15	9.989999928	9.989999928	9.989999928	9.989999928
0.151	9.989999937	9.989999937	9.989999937	9.989999937
0.152	9.989999944	9.989999944	9.989999944	9.989999944
0.153	9.989999951	9.989999951	9.989999951	9.989999951
0.154	9.989999956	9.989999956	9.989999956	9.989999956
0.155	9.989999962	9.989999962	9.989999962	9.989999962
0.156	9.989999966	9.989999966	9.989999966	9.989999966
0.157	9.98999997	9.98999997	9.98999997	9.98999997
0.158	9.989999974	9.989999974	9.989999974	9.989999974
0.159	9.989999977	9.989999977	9.989999977	9.989999977
0.16	9.989999979	9.989999979	9.989999979	9.989999979
0.161	9.989999982	9.989999982	9.989999982	9.989999982
0.162	9.989999984	9.989999984	9.989999984	9.989999984
0.163	9.989999986	9.989999986	9.989999986	9.989999986
0.164	9.989999988	9.989999988	9.989999988	9.989999988
0.165	9.989999989	9.989999989	9.989999989	9.989999989
0.166	9.98999999	9.98999999	9.98999999	9.98999999
0.167	9.989999991	9.989999991	9.989999991	9.989999991
0.168	9.989999992	9.989999992	9.989999992	9.989999992
0.169	9.989999993	9.989999993	9.989999993	9.989999993
0.17	9.989999994	9.989999994	9.989999994	9.989999994
0.171	9.989999995	9.989999995	9.989999995	9.989999995
0.172	9.989999995	9.989999995	9.989999995	9.989999995
0.173	9.989999996	9.989999996	9.989999996	9.989999996
0.174	9.989999996	9.989999996	9.989999996	9.989999996
0.175	9.989999997	9.989999997	9.989999997	9.989999997
0.176	9.989999997	9.989999997	9.989999997	9.989999997
0.177	9.989999998	9.989999998	9.989999998	9.989999998
0.178	9.989999998	9.989999998	9.989999998	9.989999998
0.179	9.989999998	9.989999998	9.989999998	9.989999998
0.18	9.989999998	9.989999998	9.989999998	9.989999998
0.181	9.989999999	9.989999999	9.989999999	9.989999999
0.182	9.989999999	9.989999999	9.989999999	9.989999999
0.183	9.989999999	9.989999999	9.989999999	9.989999999
0.184	9.989999999	9.989999999	9.989999999	9.989999999
0.185	9.989999999	9.989999999	9.989999999	9.989999999
0.186	9.989999999	9.989999999	9.989999999	9.989999999
