t	I1	I2	I3	I4
0.125	5.131770623	3.055217548	1.625288518	0.589801918
0.126	5.088439795	3.014494956	1.593905203	0.572682237
0.127	5.045474758	2.974315069	1.563127795	0.556059382
0.128	5.002872433	2.934670664	1.532944607	0.539918945
0.129	4.960629766	2.895554612	1.503344174	0.524246936
0.13	4.918743728	2.856959879	1.474315253	0.509029769
0.131	4.877211316	2.818879525	1.445846816	0.49425425
0.132	4.836029548	2.781306699	1.417928048	0.479907567
0.133	4.79519547	2.744234643	1.390548341	0.465977282
0.134	4.75470615	2.707656686	1.363697291	0.452451312
0.135	4.714558682	2.671566248	1.337364695	0.439317928
0.136	4.674750182	2.635956833	1.311540547	0.426565738
0.137	4.635277793	2.600822035	1.286215031	0.414183683
0.138	4.596138678	2.566155529	1.261378523	0.402161023
0.139	4.557330026	2.531951078	1.237021584	0.390487328
0.14	4.518849049	2.498202523	1.213134954	0.379152472
0.141	4.480692982	2.464903791	1.189709556	0.368146622
0.142	4.442859084	2.432048888	1.166736484	0.35746023
0.143	4.405344636	2.399631899	1.144207007	0.347084025
0.144	4.368146941	2.36764699	1.12211256	0.337009005
0.145	4.331263326	2.336088402	1.100444744	0.327226429
0.146	4.294691141	2.304950453	1.079195322	0.31772781
0.147	4.258427756	2.274227539	1.058356217	0.308504905
0.148	4.222470565	2.243914128	1.037919505	0.299549714
0.149	4.186816983	2.214004761	1.017877418	0.290854465
0.15	4.151464448	2.184494056	0.998222336	0.282411615
0.151	4.116410417	2.155376697	0.978946787	0.274213837
0.152	4.081652372	2.126647444	0.960043443	0.266254018
0.153	4.047187812	2.098301122	0.941505117	0.258525251
0.154	4.013014261	2.070332629	0.923324761	0.25102083
0.155	3.979129261	2.042736929	0.905495462	0.243734243
0.156	3.945530376	2.015509053	0.888010444	0.236659168
0.157	3.912215192	1.988644099	0.870863057	0.229789464
0.158	3.879181311	1.962137229	0.854046782	0.223119171
0.159	3.84642636	1.93598367	0.837555227	0.216642501
0.16	3.813947983	1.910178715	0.82138212	0.210353833
0.161	3.781743845	1.884717715	0.805521313	0.20424771
0.162	3.749811631	1.859596087	0.789966776	0.198318833
