t	alpha1	alpha2	alpha3	alpha4	alpha5
0.252	2.251868337	2.139105725	2.031971902	1.931364679	1.670108939
0.253	2.263906243	2.15103587	2.04374058	1.942927538	1.680900654
0.254	2.275945677	2.162969221	2.055514453	1.954497649	1.691704928
0.255	2.287986605	2.174905717	2.067293441	1.966074915	1.702521643
0.256	2.300028993	2.186845303	2.079077467	1.97765924	1.713350678
0.257	2.31207281	2.198787923	2.090866452	1.989250531	1.724191917
0.258	2.324118023	2.210733522	2.102660321	2.000848694	1.735045243
0.259	2.336164602	2.222682045	2.114458998	2.012453639	1.74591054
0.26	2.348212517	2.234633439	2.126262409	2.024065274	1.756787695
0.261	2.360261738	2.246587653	2.138070483	2.035683511	1.767676593
0.262	2.372312236	2.258544635	2.149883147	2.047308261	1.778577123
0.263	2.384363982	2.270504336	2.16170033	2.058939438	1.789489174
0.264	2.39641695	2.282466705	2.173521963	2.070576955	1.800412635
0.265	2.408471112	2.294431695	2.185347979	2.08222073	1.811347398
0.266	2.420526442	2.306399258	2.197178309	2.093870677	1.822293355
0.267	2.432582914	2.318369347	2.209012888	2.105526716	1.833250399
0.268	2.444640502	2.330341917	2.220851649	2.117188764	1.844218423
0.269	2.456699182	2.342316922	2.23269453	2.128856741	1.855197324
0.27	2.468758929	2.354294319	2.244541466	2.140530569	1.866186997
0.271	2.480819721	2.366274063	2.256392395	2.152210169	1.877187339
0.272	2.492881534	2.378256114	2.268247256	2.163895466	1.888198249
0.273	2.504944345	2.390240427	2.280105989	2.175586381	1.899219625
0.274	2.517008132	2.402226964	2.291968533	2.187282842	1.910251368
0.275	2.529072873	2.414215683	2.303834832	2.198984773	1.921293378
0.276	2.541138549	2.426206544	2.315704826	2.210692102	1.932345558
0.277	2.553205136	2.43819951	2.327578459	2.222404757	1.943407811
0.278	2.565272617	2.450194541	2.339455675	2.234122668	1.954480039
0.279	2.57734097	2.462191601	2.35133642	2.245845763	1.965562149
0.28	2.589410177	2.474190652	2.363220638	2.257573974	1.976654045
0.281	2.601480219	2.486191658	2.375108277	2.269307232	1.987755634
0.282	2.613551076	2.498194585	2.386999284	2.281045471	1.998866824
0.283	2.625622732	2.510199396	2.398893608	2.292788624	2.009987523
0.284	2.637695168	2.522206059	2.410791196	2.304536626	2.02111764
0.285	2.649768367	2.534214539	2.422692	2.316289411	2.032257085
0.286	2.661842312	2.546224804	2.43459597	2.328046916	2.043405769
0.287	2.673916987	2.55823682	2.446503057	2.339809079	2.054563604
0.288	2.685992376	2.570250557	2.458413213	2.351575836	2.065730502
0.289	2.698068462	2.582265984	2.470326392	2.363347128	2.076906378
0.29	2.710145231	2.594283068	2.482242546	2.375122893	2.088091144
0.291	2.722222667	2.606301782	2.49416163	2.386903071	2.099284717
0.292	2.734300755	2.618322094	2.506083599	2.398687605	2.110487011
0.293	2.746379481	2.630343976	2.518008409	2.410476435	2.121697945
0.294	2.758458831	2.642367399	2.529936016	2.422269505	2.132917435
0.295	2.770538791	2.654392337	2.541866377	2.434066759	2.1441454
0.296	2.782619348	2.66641876	2.55379945	2.445868139	2.155381758
0.297	2.794700488	2.678446642	2.565735193	2.457673592	2.16662643
0.298	2.806782198	2.690475957	2.577673565	2.469483063	2.177879336
0.299	2.818864466	2.702506679	2.589614526	2.481296499	2.189140398
0.3	2.83094728	2.714538782	2.601558036	2.493113846	2.200409537
0.301	2.843030626	2.726572241	2.613504056	2.504935053	2.211686677
0.302	2.855114495	2.738607032	2.625452547	2.516760068	2.22297174
0.303	2.867198873	2.75064313	2.637403471	2.52858884	2.234264653
0.304	2.87928375	2.762680512	2.649356791	2.540421319	2.245565338
0.305	2.891369115	2.774719155	2.661312471	2.552257456	2.256873723
0.306	2.903454957	2.786759035	2.673270473	2.564097203	2.268189734
0.307	2.915541265	2.79880013	2.685230762	2.57594051	2.279513298
0.308	2.927628028	2.810842419	2.697193304	2.587787331	2.290844342
0.309	2.939715238	2.822885879	2.709158063	2.599637618	2.302182796
0.31	2.951802884	2.834930489	2.721125005	2.611491326	2.313528588
0.311	2.963890956	2.846976228	2.733094098	2.623348409	2.324881649
0.312	2.975979445	2.859023077	2.745065307	2.635208822	2.336241908
0.313	2.988068342	2.871071014	2.757038601	2.64707252	2.347609298
0.314	3.000157638	2.883120021	2.769013946	2.65893946	2.358983751
0.315	3.012247323	2.895170077	2.780991313	2.670809598	2.370365198
0.316	3.024337389	2.907221164	2.79297067	2.682682892	2.381753573
0.317	3.036427829	2.919273263	2.804951985	2.694559301	2.39314881
0.318	3.048518632	2.931326355	2.81693523	2.706438781	2.404550843
0.319	3.060609793	2.943380423	2.828920374	2.718321293	2.415959607
0.32	3.072701301	2.955435449	2.840907389	2.730206795	2.427375039
0.321	3.084793151	2.967491416	2.852896245	2.742095249	2.438797074
0.322	3.096885334	2.979548306	2.864886914	2.753986615	2.45022565
0.323	3.108977843	2.991606103	2.876879369	2.765880853	2.461660703
0.324	3.12107067	3.00366479	2.888873582	2.777777926	2.473102173
0.325	3.13316381	3.015724351	2.900869526	2.789677796	2.484549997
0.326	3.145257253	3.027784771	2.912867174	2.801580425	2.496004115
0.327	3.157350995	3.039846034	2.924866501	2.813485778	2.507464467
0.328	3.169445029	3.051908124	2.93686748	2.825393817	2.518930994
0.329	3.181539347	3.063971026	2.948870086	2.837304506	2.530403636
0.33	3.193633944	3.076034727	2.960874294	2.849217811	2.541882336
0.331	3.205728813	3.08809921	2.972880079	2.861133696	2.553367034
0.332	3.217823949	3.100164463	2.984887418	2.873052128	2.564857675
0.333	3.229919345	3.112230471	2.996896286	2.884973071	2.5763542
0.334	3.242014996	3.12429722	3.00890666	2.896896493	2.587856555
0.335	3.254110896	3.136364697	3.020918517	2.908822361	2.599364683
0.336	3.26620704	3.148432889	3.032931834	2.920750642	2.610878529
0.337	3.278303422	3.160501783	3.044946588	2.932681304	2.622398039
0.338	3.290400037	3.172571367	3.056962758	2.944614315	2.633923158
0.339	3.30249688	3.184641626	3.068980321	2.956549644	2.645453834
0.34	3.314593945	3.196712551	3.080999257	2.96848726	2.656990012
0.341	3.326691229	3.208784127	3.093019544	2.980427132	2.66853164
0.342	3.338788725	3.220856344	3.105041161	2.992369231	2.680078667
0.343	3.35088643	3.23292919	3.117064089	3.004313526	2.691631041
0.344	3.362984338	3.245002653	3.129088307	3.016259989	2.70318871
0.345	3.375082445	3.257076723	3.141113794	3.02820859	2.714751624
0.346	3.387180747	3.269151388	3.153140532	3.040159301	2.726319733
0.347	3.39927924	3.281226637	3.165168502	3.052112094	2.737892988
0.348	3.411377919	3.29330246	3.177197684	3.064066942	2.749471339
0.349	3.42347678	3.305378847	3.18922806	3.076023816	2.761054737
0.35	3.435575818	3.317455787	3.201259611	3.08798269	2.772643135
0.351	3.447675031	3.329533271	3.21329232	3.099943537	2.784236484
0.352	3.459774415	3.341611288	3.225326169	3.11190633	2.795834738
0.353	3.471873965	3.353689828	3.237361139	3.123871045	2.80743785
0.354	3.483973677	3.365768883	3.249397215	3.135837655	2.819045772
0.355	3.496073549	3.377848443	3.261434379	3.147806135	2.83065846
0.356	3.508173576	3.389928498	3.273472613	3.15977646	2.842275867
0.357	3.520273756	3.40200904	3.285511903	3.171748605	2.853897949
0.358	3.532374085	3.41409006	3.297552231	3.183722547	2.865524661
0.359	3.544474559	3.42617155	3.309593582	3.195698261	2.877155958
0.36	3.556575175	3.4382535	3.32163594	3.207675723	2.888791798
0.361	3.568675931	3.450335902	3.333679289	3.219654911	2.900432136
0.362	3.580776823	3.462418749	3.345723615	3.231635801	2.91207693
