t	w	U	I	alpha
0.088	6.274773127	9.989833315	5.018819666	0.541477611
0.089	6.324010716	9.989852903	4.95200277	0.553814027
0.09	6.37259275	9.989870189	4.886067152	0.566246224
0.091	6.42052788	9.989885443	4.821002158	0.578772925
0.092	6.467824652	9.989898905	4.75679715	0.591392873
0.093	6.514491509	9.989910785	4.693441517	0.604104826
0.094	6.560536785	9.989921269	4.630924692	0.616907558
0.095	6.605968714	9.989930521	4.569236157	0.62979986
0.096	6.650795425	9.989938686	4.508365459	0.642780539
0.097	6.695024944	9.989945891	4.448302216	0.655848417
0.098	6.738665194	9.989952249	4.389036122	0.669002334
0.099	6.781723998	9.989957861	4.330556955	0.682241142
0.1	6.824209078	9.989962813	4.272854583	0.69556371
0.101	6.866128056	9.989967183	4.215918966	0.708968923
0.102	6.907488456	9.989971039	4.159740162	0.722455679
0.103	6.948297704	9.989974442	4.104308329	0.736022892
0.104	6.98856313	9.989977446	4.049613726	0.749669489
0.105	7.028291966	9.989980096	3.995646718	0.763394413
0.106	7.067491351	9.989982435	3.942397774	0.777196619
0.107	7.106168332	9.989984499	3.889857474	0.791075079
0.108	7.14432986	9.989986321	3.838016502	0.805028774
0.109	7.181982798	9.989987928	3.786865654	0.819056704
0.11	7.219133916	9.989989347	3.736395832	0.833157878
0.111	7.255789895	9.989990599	3.686598049	0.847331321
0.112	7.29195733	9.989991703	3.637463428	0.861576069
0.113	7.327642726	9.989992678	3.5889832	0.875891171
0.114	7.362852505	9.989993539	3.541148704	0.890275691
0.115	7.397593	9.989994298	3.493951388	0.904728703
0.116	7.431870463	9.989994968	3.447382807	0.919249294
0.117	7.465691064	9.989995559	3.401434624	0.933836563
0.118	7.499060888	9.989996081	3.356098606	0.948489622
0.119	7.531985941	9.989996542	3.311366628	0.963207594
0.12	7.564472149	9.989996948	3.267230668	0.977989613
0.121	7.59652536	9.989997307	3.223682807	0.992834826
0.122	7.628151343	9.989997623	3.180715228	1.007742391
0.123	7.659355792	9.989997903	3.138320219	1.022711476
0.124	7.690144323	9.989998149	3.096490163	1.037741262
0.125	7.72052248	9.989998367	3.055217548	1.052830939
0.126	7.75049573	9.989998559	3.014494956	1.06797971
0.127	7.780069471	9.989998728	2.974315069	1.083186786
0.128	7.809249026	9.989998877	2.934670664	1.09845139
0.129	7.838039648	9.989999009	2.895554612	1.113772756
0.13	7.866446522	9.989999126	2.856959879	1.129150127
0.131	7.894474762	9.989999228	2.818879525	1.144582757
0.132	7.922129413	9.989999319	2.781306699	1.160069909
0.133	7.949415456	9.989999399	2.744234643	1.175610856
0.134	7.976337802	9.98999947	2.707656686	1.191204881
0.135	8.0029013	9.989999532	2.671566248	1.206851277
0.136	8.029110733	9.989999587	2.635956833	1.222549346
0.137	8.054970818	9.989999636	2.600822035	1.238298399
0.138	8.080486213	9.989999678	2.566155529	1.254097756
0.139	8.105661512	9.989999716	2.531951078	1.269946747
0.14	8.130501248	9.98999975	2.498202523	1.28584471
0.141	8.155009892	9.989999779	2.464903791	1.301790993
0.142	8.17919186	9.989999805	2.432048888	1.317784952
0.143	8.203051503	9.989999828	2.399631899	1.33382595
0.144	8.22659312	9.989999848	2.36764699	1.349913362
0.145	8.249820948	9.989999866	2.336088402	1.366046568
0.146	8.27273917	9.989999882	2.304950453	1.382224958
0.147	8.295351913	9.989999896	2.274227539	1.39844793
0.148	8.317663248	9.989999908	2.243914128	1.414714889
0.149	8.339677194	9.989999919	2.214004761	1.431025249
0.15	8.361397713	9.989999928	2.184494056	1.447378432
0.151	8.382828717	9.989999937	2.155376697	1.463773867
0.152	8.403974065	9.989999944	2.126647444	1.480210991
0.153	8.424837564	9.989999951	2.098301122	1.496689248
0.154	8.445422971	9.989999956	2.070332629	1.513208089
0.155	8.465733993	9.989999962	2.042736929	1.529766975
0.156	8.485774287	9.989999966	2.015509053	1.54636537
0.157	8.505547461	9.98999997	1.988644099	1.563002749
0.158	8.525057077	9.989999974	1.962137229	1.579678592
0.159	8.544306646	9.989999977	1.93598367	1.596392386
0.16	8.563299636	9.989999979	1.910178715	1.613143625
0.161	8.582039466	9.989999982	1.884717715	1.62993181
0.162	8.600529511	9.989999984	1.859596087	1.646756449
0.163	8.6187731	9.989999986	1.834809307	1.663617056
0.164	8.636773517	9.989999988	1.810352913	1.680513151
0.165	8.654534005	9.989999989	1.7862225	1.697444262
0.166	8.672057761	9.98999999	1.762413723	1.714409921
0.167	8.689347941	9.989999991	1.738922296	1.731409668
0.168	8.706407658	9.989999992	1.715743989	1.748443049
0.169	8.723239984	9.989999993	1.692874628	1.765509616
0.17	8.73984795	9.989999994	1.670310094	1.782608926
0.171	8.756234546	9.989999995	1.648046326	1.799740542
0.172	8.772402723	9.989999995	1.626079315	1.816904034
0.173	8.788355393	9.989999996	1.604405103	1.834098978
0.174	8.804095428	9.989999996	1.58301979	1.851324954
0.175	8.819625661	9.989999997	1.561919524	1.868581548
0.176	8.83494889	9.989999997	1.541100506	1.885868352
0.177	8.850067875	9.989999998	1.520558988	1.903184964
0.178	8.864985336	9.989999998	1.500291269	1.920530986
0.179	8.87970396	9.989999998	1.480293701	1.937906026
0.18	8.894226399	9.989999998	1.460562683	1.955309698
0.181	8.908555265	9.989999999	1.441094663	1.97274162
0.182	8.922693141	9.989999999	1.421886133	1.990201414
0.183	8.936642571	9.989999999	1.402933637	2.007688711
0.184	8.950406067	9.989999999	1.384233761	2.025203143
0.185	8.963986108	9.989999999	1.365783137	2.042744348
0.186	8.977385139	9.989999999	1.347578445	2.06031197
0.187	8.990605573	9.989999999	1.329616404	2.077905656
0.188	9.00364979	9.989999999	1.311893782	2.095525059
0.189	9.016520139	9.989999999	1.294407387	2.113169837
0.19	9.029218937	9.99	1.277154071	2.130839651
0.191	9.041748472	9.99	1.260130726	2.148534167
0.192	9.054110999	9.99	1.243334287	2.166253056
0.193	9.066308744	9.99	1.22676173	2.183995994
0.194	9.078343904	9.99	1.21041007	2.201762659
0.195	9.090218645	9.99	1.194276364	2.219552736
0.196	9.101935107	9.99	1.178357706	2.237365912
0.197	9.113495399	9.99	1.16265123	2.255201879
0.198	9.124901602	9.99	1.147154107	2.273060335
0.199	9.136155771	9.99	1.131863548	2.290940978
0.2	9.147259931	9.99	1.116776798	2.308843513
0.201	9.158216082	9.99	1.101891141	2.326767649
0.202	9.169026198	9.99	1.087203897	2.344713097
0.203	9.179692224	9.99	1.072712421	2.362679574
0.204	9.190216081	9.99	1.058414104	2.380666798
0.205	9.200599665	9.99	1.044306371	2.398674495
0.206	9.210844845	9.99	1.030386682	2.41670239
0.207	9.220953465	9.99	1.016652529	2.434750214
0.208	9.230927346	9.99	1.003101441	2.452817703
0.209	9.240768284	9.99	0.989730978	2.470904593
0.21	9.250478051	9.99	0.97653873	2.489010626
0.211	9.260058395	9.99	0.963522324	2.507135547
0.212	9.269511042	9.99	0.950679416	2.525279104
0.213	9.278837693	9.99	0.938007691	2.543441049
0.214	9.288040029	9.99	0.92550487	2.561621137
0.215	9.297119705	9.99	0.913168701	2.579819126
0.216	9.306078357	9.99	0.900996962	2.598034777
0.217	9.314917597	9.99	0.888987461	2.616267854
0.218	9.323639019	9.99	0.877138037	2.634518127
0.219	9.332244192	9.99	0.865446555	2.652785364
0.22	9.340734665	9.99	0.85391091	2.671069341
0.221	9.349111968	9.99	0.842529026	2.689369834
0.222	9.357377608	9.99	0.831298852	2.707686623
0.223	9.365533075	9.99	0.820218366	2.726019491
0.224	9.373579837	9.99	0.809285573	2.744368223
0.225	9.381519342	9.99	0.798498505	2.762732609
0.226	9.389353021	9.99	0.787855219	2.781112438
0.227	9.397082283	9.99	0.777353799	2.799507506
0.228	9.404708522	9.99	0.766992354	2.81791761
0.229	9.412233109	9.99	0.756769017	2.836342548
