t	w1	w2	w3	w4
0.225	8.308730248	9.381519342	9.804561136	9.948374181
0.226	8.322751153	9.389353021	9.807740892	9.948979604
0.227	8.336653668	9.397082283	9.810859248	9.949567454
0.228	8.350438794	9.404708522	9.813917388	9.950138239
0.229	8.364107521	9.412233109	9.816916476	9.950692456
0.23	8.377660833	9.4196574	9.819857652	9.951230584
0.231	8.391099703	9.426982732	9.822742034	9.951753093
0.232	8.404425098	9.434210423	9.825570719	9.952260433
0.233	8.417637977	9.441341776	9.828344782	9.952753047
0.234	8.430739289	9.448378074	9.831065278	9.953231361
0.235	8.443729976	9.455320584	9.833733242	9.953695791
0.236	8.456610973	9.462170557	9.836349687	9.954146739
0.237	8.469383205	9.468929226	9.838915609	9.954584597
0.238	8.482047592	9.475597807	9.841431984	9.955009745
0.239	8.494605043	9.482177502	9.843899767	9.955422552
0.24	8.507056462	9.488669496	9.846319898	9.955823376
0.241	8.519402743	9.495074957	9.848693297	9.956212565
0.242	8.531644776	9.501395038	9.851020865	9.956590456
0.243	8.543783439	9.507630879	9.853303488	9.956957379
0.244	8.555819606	9.513783601	9.855542034	9.95731365
0.245	8.567754142	9.519854313	9.857737353	9.957659579
0.246	8.579587906	9.525844108	9.859890281	9.957995467
0.247	8.591321748	9.531754064	9.862001637	9.958321604
0.248	8.602956512	9.537585245	9.864072222	9.958638275
0.249	8.614493035	9.543338702	9.866102824	9.958945753
0.25	8.625932145	9.54901547	9.868094216	9.959244306
0.251	8.637274667	9.554616572	9.870047154	9.959534192
0.252	8.648521414	9.560143016	9.871962381	9.959815663
0.253	8.659673196	9.565595798	9.873840625	9.960088964
0.254	8.670730816	9.570975899	9.875682601	9.960354332
0.255	8.681695067	9.576284287	9.877489008	9.960611997
0.256	8.692566738	9.58152192	9.879260533	9.960862182
0.257	8.703346611	9.586689739	9.880997851	9.961105105
0.258	8.714035462	9.591788676	9.882701621	9.961340976
0.259	8.724634058	9.596819649	9.884372491	9.96157
0.26	8.735143161	9.601783563	9.886011097	9.961792376
0.261	8.745563529	9.606681312	9.887618062	9.962008298
0.262	8.755895909	9.611513779	9.889193996	9.962217951
0.263	8.766141044	9.616281833	9.890739499	9.962421519
0.264	8.776299672	9.620986334	9.892255159	9.962619177
0.265	8.786372523	9.625628127	9.893741551	9.962811098
0.266	8.79636032	9.630208049	9.895199242	9.962997448
0.267	8.806263783	9.634726925	9.896628784	9.963178388
0.268	8.816083623	9.639185569	9.898030722	9.963354076
0.269	8.825820547	9.643584782	9.899405589	9.963524664
0.27	8.835475254	9.647925358	9.900753907	9.963690301
0.271	8.845048439	9.652208078	9.902076189	9.963851129
0.272	8.85454079	9.656433713	9.903372939	9.964007289
0.273	8.863952989	9.660603023	9.904644648	9.964158916
