t	alpha1	alpha2	alpha3	alpha4
0.388	5.110749113	5.868849056	6.310051681	6.64155119
0.389	5.129459336	5.888243833	6.329561455	6.661073936
0.39	5.148176423	5.90764032	6.349071485	6.680596692
0.391	5.166900315	5.927038494	6.368581768	6.700119457
0.392	5.185630956	5.946438334	6.388092298	6.719642231
0.393	5.204368288	5.965839815	6.40760307	6.739165014
0.394	5.223112254	5.985242918	6.427114079	6.758687805
0.395	5.241862799	6.00464762	6.446625322	6.778210605
0.396	5.260619867	6.0240539	6.466136793	6.797733413
0.397	5.279383403	6.043461736	6.485648488	6.817256229
0.398	5.298153353	6.062871108	6.505160403	6.836779052
0.399	5.316929661	6.082281997	6.524672533	6.856301883
0.4	5.335712276	6.10169438	6.544184875	6.87582472
0.401	5.354501142	6.121108239	6.563697425	6.895347565
0.402	5.373296208	6.140523554	6.583210177	6.914870416
0.403	5.392097422	6.159940305	6.602723129	6.934393274
0.404	5.41090473	6.179358473	6.622236276	6.953916139
0.405	5.429718082	6.19877804	6.641749615	6.973439009
0.406	5.448537427	6.218198986	6.661263142	6.992961886
0.407	5.467362715	6.237621294	6.680776854	7.012484768
0.408	5.486193894	6.257044944	6.700290746	7.032007656
0.409	5.505030915	6.27646992	6.719804816	7.051530549
0.41	5.52387373	6.295896204	6.73931906	7.071053448
0.411	5.542722288	6.315323778	6.758833474	7.090576352
0.412	5.561576542	6.334752625	6.778348055	7.110099261
0.413	5.580436443	6.354182728	6.797862801	7.129622175
0.414	5.599301944	6.37361407	6.817377707	7.149145094
0.415	5.618172998	6.393046635	6.836892772	7.168668017
0.416	5.637049556	6.412480406	6.85640799	7.188190944
0.417	5.655931574	6.431915367	6.875923361	7.207713876
0.418	5.674819005	6.451351504	6.895438881	7.227236812
0.419	5.693711804	6.470788799	6.914954546	7.246759753
0.42	5.712609924	6.490227237	6.934470354	7.266282697
0.421	5.731513321	6.509666804	6.953986303	7.285805645
0.422	5.75042195	6.529107483	6.97350239	7.305328597
0.423	5.769335768	6.548549261	6.993018611	7.324851552
0.424	5.788254731	6.567992123	7.012534965	7.344374511
0.425	5.807178794	6.587436054	7.032051449	7.363897474
0.426	5.826107915	6.606881039	7.05156806	7.383420439
0.427	5.845042052	6.626327066	7.071084796	7.402943408
0.428	5.863981161	6.64577412	7.090601654	7.42246638
0.429	5.882925201	6.665222187	7.110118632	7.441989356
0.43	5.901874131	6.684671253	7.129635729	7.461512334
0.431	5.920827908	6.704121307	7.14915294	7.481035315
0.432	5.939786493	6.723572333	7.168670265	7.500558298
0.433	5.958749844	6.74302432	7.188187701	7.520081285
0.434	5.977717921	6.762477255	7.207705246	7.539604274
0.435	5.996690684	6.781931124	7.227222898	7.559127266
0.436	6.015668094	6.801385916	7.246740654	7.57865026
0.437	6.034650112	6.820841618	7.266258513	7.598173256
0.438	6.053636698	6.840298218	7.285776473	7.617696255
0.439	6.072627815	6.859755705	7.305294532	7.637219256
0.44	6.091623423	6.879214065	7.324812688	7.656742259
0.441	6.110623485	6.898673288	7.344330939	7.676265265
0.442	6.129627963	6.918133363	7.363849282	7.695788272
0.443	6.14863682	6.937594277	7.383367718	7.715311282
0.444	6.167650019	6.957056019	7.402886243	7.734834293
0.445	6.186667523	6.976518579	7.422404855	7.754357307
0.446	6.205689296	6.995981946	7.441923555	7.773880322
0.447	6.224715303	7.015446109	7.461442338	7.793403339
0.448	6.243745506	7.034911057	7.480961205	7.812926358
0.449	6.262779871	7.054376779	7.500480152	7.832449378
0.45	6.281818362	7.073843267	7.51999918	7.8519724
0.451	6.300860946	7.093310508	7.539518286	7.871495424
0.452	6.319907586	7.112778494	7.559037468	7.891018449
0.453	6.33895825	7.132247214	7.578556725	7.910541476
0.454	6.358012902	7.151716659	7.598076057	7.930064504
0.455	6.37707151	7.171186818	7.61759546	7.949587534
0.456	6.396134039	7.190657683	7.637114935	7.969110565
0.457	6.415200458	7.210129244	7.656634479	7.988633597
0.458	6.434270732	7.229601491	7.676154092	8.008156631
0.459	6.45334483	7.249074416	7.695673771	8.027679665
0.46	6.472422718	7.268548009	7.715193516	8.047202701
0.461	6.491504366	7.288022262	7.734713325	8.066725739
0.462	6.510589741	7.307497166	7.754233197	8.086248777
0.463	6.529678812	7.326972712	7.773753131	8.105771817
0.464	6.548771548	7.346448891	7.793273126	8.125294857
0.465	6.567867917	7.365925696	7.812793181	8.144817899
0.466	6.586967889	7.385403117	7.832313294	8.164340942
0.467	6.606071434	7.404881147	7.851833464	8.183863985
0.468	6.625178522	7.424359777	7.87135369	8.20338703
0.469	6.644289122	7.443839	7.890873971	8.222910076
