t	w	alpha
0.45	10.02766458	7.220420236
0.451	10.02794296	7.239505328
0.452	10.02818453	7.25859094
0.453	10.02845501	7.277677015
0.454	10.02869015	7.296763594
0.455	10.02895294	7.315850625
0.456	10.02918181	7.334938146
0.457	10.02943714	7.354026105
0.458	10.0296599	7.373114541
0.459	10.02990799	7.392203404
0.46	10.03012481	7.41129273
0.461	10.03036586	7.430382471
0.462	10.03057689	7.449472663
0.463	10.03081111	7.468563259
0.464	10.03101649	7.487654292
0.465	10.03124407	7.506745718
0.466	10.03144397	7.52583757
0.467	10.0316651	7.544929804
0.468	10.03185965	7.564022452
0.469	10.03207452	7.583115471
0.47	10.03226386	7.602208893
0.471	10.03247265	7.621302676
0.472	10.03265692	7.64039685
0.473	10.0328598	7.659491376
0.474	10.03303913	7.678586282
0.475	10.03323628	7.697681531
0.476	10.03341081	7.716777148
0.477	10.03360237	7.735873099
0.478	10.03377222	7.754969408
0.479	10.03395837	7.774066042
0.48	10.03412367	7.793163025
0.481	10.03430455	7.812260323
0.482	10.03446541	7.831357959
0.483	10.03464119	7.850455903
0.484	10.03479773	7.869554176
0.485	10.03496854	7.888652748
0.486	10.03512088	7.90775164
0.487	10.03528687	7.926850822
0.488	10.03543512	7.945950316
0.489	10.03559642	7.965050092
0.49	10.03574069	7.98415017
0.491	10.03589744	8.003250524
0.492	10.03603782	8.022351172
0.493	10.03619015	8.041452087
0.494	10.03632676	8.060553288
0.495	10.03647479	8.079654749
0.496	10.03660773	8.098756488
0.497	10.03675159	8.117858481
0.498	10.03688094	8.136960742
0.499	10.03702075	8.156063251
0.5	10.03714662	8.175166022
0.501	10.03728248	8.194269033
0.502	10.03740497	8.213372298
0.503	10.037537	8.232475797
0.504	10.03765619	8.251579543
0.505	10.03778451	8.270683517
0.506	10.03790048	8.289787732
0.507	10.03802518	8.308892167
0.508	10.03813803	8.327996836
0.509	10.03825922	8.347101721
0.51	10.03836902	8.366206832
0.511	10.03848681	8.385312153
0.512	10.03859364	8.404417695
0.513	10.03870812	8.42352344
0.514	10.03881207	8.4426294
0.515	10.03892332	8.461735558
0.516	10.03902447	8.480841925
0.517	10.0391326	8.499948485
0.518	10.03923101	8.519055247
0.519	10.0393361	8.538162197
0.52	10.03943186	8.557269344
0.521	10.03953399	8.576376673
0.522	10.03962716	8.595484194
0.523	10.03972642	8.614591893
