t	alpha1	alpha2	alpha3	alpha4
0.31	2.93518584	3.487664815	3.831925547	4.098413722
0.311	2.949692922	3.503172188	3.847688465	4.114225828
0.312	2.964211048	3.51868366	3.863452389	4.130038019
0.313	2.978740125	3.534199179	3.879217299	4.14585029
0.314	2.993280059	3.549718689	3.894983175	4.161662641
0.315	3.00783076	3.565242137	3.91075	4.177475068
0.316	3.022392136	3.580769471	3.926517755	4.193287569
0.317	3.036964097	3.59630064	3.942286423	4.209100143
0.318	3.051546554	3.611835592	3.958055984	4.224912787
0.319	3.066139419	3.627374276	3.973826423	4.240725499
0.32	3.080742603	3.642916643	3.989597723	4.256538277
0.321	3.095356019	3.658462644	4.005369866	4.272351119
0.322	3.10997958	3.674012231	4.021142836	4.288164024
0.323	3.124613202	3.689565355	4.036916618	4.303976989
0.324	3.1392568	3.705121969	4.052691195	4.319790013
0.325	3.153910288	3.720682028	4.068466553	4.335603094
0.326	3.168573584	3.736245484	4.084242676	4.351416231
0.327	3.183246604	3.751812294	4.100019549	4.367229421
0.328	3.197929267	3.767382411	4.115797159	4.383042664
0.329	3.212621491	3.782955792	4.13157549	4.398855957
0.33	3.227323195	3.798532394	4.14735453	4.414669299
0.331	3.2420343	3.814112173	4.163134263	4.43048269
0.332	3.256754726	3.829695087	4.178914678	4.446296126
0.333	3.271484394	3.845281095	4.19469576	4.462109608
0.334	3.286223226	3.860870154	4.210477496	4.477923134
0.335	3.300971145	3.876462226	4.226259875	4.493736702
0.336	3.315728074	3.892057268	4.242042884	4.509550312
0.337	3.330493937	3.907655242	4.25782651	4.525363961
0.338	3.345268659	3.923256109	4.273610742	4.54117765
0.339	3.360052165	3.93885983	4.289395567	4.556991376
0.34	3.37484438	3.954466367	4.305180976	4.572805139
0.341	3.389645231	3.970075683	4.320966955	4.588618937
0.342	3.404454646	3.98568774	4.336753495	4.60443277
0.343	3.419272551	4.001302502	4.352540584	4.620246637
0.344	3.434098876	4.016919932	4.368328211	4.636060536
0.345	3.448933548	4.032539996	4.384116367	4.651874467
0.346	3.463776498	4.048162659	4.399905042	4.667688429
0.347	3.478627656	4.063787884	4.415694224	4.683502421
0.348	3.493486953	4.07941564	4.431483905	4.699316441
0.349	3.508354318	4.09504589	4.447274074	4.71513049
0.35	3.523229686	4.110678604	4.463064723	4.730944566
0.351	3.538112987	4.126313747	4.478855842	4.746758669
0.352	3.553004156	4.141951287	4.494647422	4.762572797
0.353	3.567903125	4.157591192	4.510439454	4.77838695
0.354	3.582809828	4.173233431	4.526231929	4.794201128
0.355	3.597724201	4.188877973	4.542024839	4.810015329
0.356	3.612646179	4.204524786	4.557818175	4.825829553
0.357	3.627575697	4.220173842	4.573611929	4.8416438
0.358	3.642512692	4.235825109	4.589406094	4.857458068
0.359	3.6574571	4.251478558	4.605200661	4.873272357
0.36	3.67240886	4.26713416	4.620995622	4.889086666
0.361	3.687367908	4.282791887	4.636790969	4.904900995
0.362	3.702334184	4.298451711	4.652586696	4.920715343
0.363	3.717307626	4.314113602	4.668382795	4.93652971
0.364	3.732288174	4.329777534	4.684179259	4.952344095
0.365	3.747275767	4.34544348	4.699976081	4.968158497
0.366	3.762270347	4.361111412	4.715773253	4.983972917
0.367	3.777271855	4.376781304	4.731570769	4.999787353
0.368	3.792280231	4.392453131	4.747368623	5.015601805
0.369	3.807295419	4.408126865	4.763166808	5.031416273
0.37	3.822317359	4.423802483	4.778965317	5.047230756
0.371	3.837345996	4.439479958	4.794764145	5.063045254
0.372	3.852381273	4.455159266	4.810563284	5.078859766
0.373	3.867423133	4.470840383	4.82636273	5.094674292
0.374	3.882471522	4.486523284	4.842162476	5.110488831
0.375	3.897526383	4.502207945	4.857962516	5.126303384
0.376	3.912587663	4.517894344	4.873762845	5.142117949
0.377	3.927655307	4.533582457	4.889563457	5.157932526
0.378	3.942729262	4.549272261	4.905364347	5.173747116
0.379	3.957809474	4.564963734	4.921165509	5.189561717
0.38	3.97289589	4.580656853	4.936966938	5.205376329
0.381	3.987988458	4.596351596	4.952768628	5.221190953
0.382	4.003087126	4.612047942	4.968570576	5.237005587
0.383	4.018191842	4.62774587	4.984372775	5.252820231
0.384	4.033302556	4.643445358	5.000175222	5.268634885
0.385	4.048419216	4.659146385	5.015977911	5.28444955
0.386	4.063541773	4.674848932	5.031780837	5.300264223
0.387	4.078670177	4.690552977	5.047583996	5.316078906
0.388	4.093804378	4.706258501	5.063387384	5.331893598
0.389	4.108944328	4.721965485	5.079190995	5.347708298
0.39	4.124089977	4.737673908	5.094994827	5.363523007
0.391	4.139241279	4.753383751	5.110798873	5.379337724
0.392	4.154398184	4.769094996	5.126603132	5.395152449
0.393	4.169560646	4.784807623	5.142407597	5.410967181
0.394	4.184728618	4.800521615	5.158212266	5.426781921
0.395	4.199902053	4.816236954	5.174017134	5.442596668
0.396	4.215080905	4.83195362	5.189822197	5.458411423
0.397	4.230265129	4.847671597	5.205627452	5.474226184
