t	I1	I2	I3	I4
0.145	2.336088402	3.351340205	4.366592007	6.397095612
0.146	2.304950453	3.322664788	4.340379122	6.375807791
0.147	2.274227539	3.294371582	4.314515624	6.354803709
0.148	2.243914128	3.266455493	4.288996858	6.334079588
0.149	2.214004761	3.238911495	4.263818228	6.313631694
0.15	2.184494056	3.211734629	4.238975202	6.293456348
0.151	2.155376697	3.184920002	4.214463307	6.273549917
0.152	2.126647444	3.158462787	4.190278131	6.253908818
0.153	2.098301122	3.13235822	4.166415318	6.234529513
0.154	2.070332629	3.106601601	4.142870572	6.215408515
0.155	2.042736929	3.081188292	4.119639654	6.196542379
0.156	2.015509053	3.056113718	4.096718382	6.177927711
0.157	1.988644099	3.031373363	4.074102628	6.159561157
0.158	1.962137229	3.006962775	4.05178832	6.141439412
0.159	1.93598367	2.982877556	4.029771441	6.123559212
0.16	1.910178715	2.95911337	4.008048026	6.105917338
0.161	1.884717715	2.935665939	3.986614164	6.088510613
0.162	1.859596087	2.912531041	3.965465995	6.071335904
0.163	1.834809307	2.88970451	3.944599712	6.054390117
0.164	1.810352913	2.867182235	3.924011557	6.037670202
0.165	1.7862225	2.844960162	3.903697824	6.021173148
0.166	1.762413723	2.823034289	3.883654854	6.004895985
0.167	1.738922296	2.801400667	3.863879039	5.988835781
0.168	1.715743989	2.780055403	3.844366817	5.972989645
0.169	1.692874628	2.758994652	3.825114676	5.957354724
0.17	1.670310094	2.738214621	3.806119148	5.941928202
0.171	1.648046326	2.71771157	3.787376814	5.926707302
0.172	1.626079315	2.697481807	3.768884299	5.911689283
0.173	1.604405103	2.677521688	3.750638272	5.89687144
0.174	1.58301979	2.657827619	3.732635448	5.882251107
0.175	1.561919524	2.638396056	3.714872587	5.867825649
0.176	1.541100506	2.619223497	3.697346488	5.853592469
0.177	1.520558988	2.600306492	3.680053997	5.839549006
0.178	1.500291269	2.581641634	3.662991999	5.825692729
0.179	1.480293701	2.563225562	3.646157423	5.812021144
0.18	1.460562683	2.54505496	3.629547236	5.79853179
0.181	1.441094663	2.527126556	3.613158449	5.785222236
0.182	1.421886133	2.509437122	3.59698811	5.772090087
0.183	1.402933637	2.491983472	3.581033308	5.759132978
0.184	1.384233761	2.474762465	3.565291168	5.746348576
0.185	1.365783137	2.457770998	3.549758858	5.733734579
0.186	1.347578445	2.441006012	3.53443358	5.721288715
0.187	1.329616404	2.424464489	3.519312574	5.709008743
0.188	1.311893782	2.40814345	3.504393118	5.696892453
0.189	1.294407387	2.392039956	3.489672525	5.684937662
0.19	1.277154071	2.376151108	3.475148145	5.673142219
0.191	1.260130726	2.360474044	3.460817362	5.661503998
0.192	1.243334287	2.345005941	3.446677595	5.650020904
0.193	1.22676173	2.329744015	3.4327263	5.63869087
0.194	1.21041007	2.314685516	3.418960963	5.627511855
0.195	1.194276364	2.299827735	3.405379105	5.616481847
0.196	1.178357706	2.285167994	3.391978283	5.605598859
0.197	1.16265123	2.270703655	3.378756081	5.594860932
0.198	1.147154107	2.256432113	3.365710119	5.584266132
0.199	1.131863548	2.242350798	3.352838049	5.573812551
0.2	1.116776798	2.228457175	3.340137553	5.563498307
0.201	1.101891141	2.214748742	3.327606342	5.553321544
0.202	1.087203897	2.20122303	3.315242162	5.543280427
0.203	1.072712421	2.187877603	3.303042786	5.53337315
0.204	1.058414104	2.17471006	3.291006016	5.523597928
0.205	1.044306371	2.161718029	3.279129686	5.513953002
0.206	1.030386682	2.148899169	3.267411657	5.504436633
0.207	1.016652529	2.136251175	3.25584982	5.49504711
0.208	1.003101441	2.123771766	3.244442091	5.485782741
0.209	0.989730978	2.111458698	3.233186417	5.476641857
0.21	0.97653873	2.099309751	3.222080772	5.467622814
0.211	0.963522324	2.08732274	3.211123155	5.458723986
0.212	0.950679416	2.075495505	3.200311594	5.449943772
0.213	0.938007691	2.063825916	3.189644141	5.441280591
0.214	0.92550487	2.052311873	3.179118876	5.432732882
0.215	0.913168701	2.040951302	3.168733904	5.424299107
0.216	0.900996962	2.029742158	3.158487354	5.415977747
0.217	0.888987461	2.018682422	3.148377382	5.407767303
0.218	0.877138037	2.007770102	3.138402167	5.399666297
0.219	0.865446555	1.997003234	3.128559913	5.39167327
0.22	0.85391091	1.986379879	3.118848847	5.383786784
0.221	0.842529026	1.975898124	3.109267221	5.376005417
0.222	0.831298852	1.965556081	3.09981331	5.368327769
0.223	0.820218366	1.955351889	3.090485412	5.360752458
0.224	0.809285573	1.94528371	3.081281846	5.353278119
0.225	0.798498505	1.93534973	3.072200956	5.345903406
0.226	0.787855219	1.925548162	3.063241105	5.338626992
0.227	0.777353799	1.915877241	3.054400682	5.331447565
0.228	0.766992354	1.906335224	3.045678094	5.324363835
0.229	0.756769017	1.896920394	3.037071771	5.317374524
0.23	0.746681949	1.887631056	3.028580162	5.310478375
0.231	0.736729333	1.878465536	3.020201739	5.303674145
0.232	0.726909376	1.869422184	3.011934993	5.29696061
0.233	0.71722031	1.860499373	3.003778435	5.29033656
0.234	0.707660392	1.851695494	2.995730597	5.283800803
0.235	0.698227898	1.843008964	2.98779003	5.277352162
0.236	0.688921132	1.834438218	2.979955304	5.270989476
0.237	0.679738416	1.825981712	2.972225007	5.264711598
0.238	0.670678099	1.817637924	2.964597749	5.2585174
0.239	0.661738547	1.809405351	2.957072156	5.252405764
0.24	0.652918152	1.801282512	2.949646872	5.246375592
0.241	0.644215324	1.793267942	2.94232056	5.240425796
0.242	0.635628498	1.7853602	2.935091902	5.234555306
0.243	0.627156127	1.777557861	2.927959595	5.228763064
0.244	0.618796685	1.769859521	2.920922356	5.223048028
0.245	0.610548667	1.762263792	2.913978918	5.217409168
0.246	0.602410588	1.754769308	2.907128029	5.211845469
0.247	0.594380982	1.747374719	2.900368456	5.20635593
0.248	0.586458404	1.740078694	2.893698983	5.200939561
0.249	0.578641427	1.732879918	2.887118408	5.195595388
0.25	0.570928644	1.725777095	2.880625546	5.190322448
0.251	0.563318665	1.718768947	2.874219228	5.185119791
0.252	0.55581012	1.711854211	2.867898301	5.179986482
0.253	0.548401658	1.705031642	2.861661627	5.174921595
0.254	0.541091944	1.698300013	2.855508081	5.169924218
0.255	0.533879663	1.69165811	2.849436558	5.164993452
0.256	0.526763514	1.685104738	2.843445962	5.160128409
0.257	0.519742218	1.678638717	2.837535215	5.155328213
0.258	0.512814509	1.672258882	2.831703254	5.150591999
0.259	0.505979141	1.665964084	2.825949028	5.145918915
0.26	0.499234882	1.659753191	2.8202715	5.141308118
0.261	0.492580518	1.653625084	2.814669649	5.13675878
0.262	0.486014851	1.647578659	2.809142466	5.132270081
0.263	0.479536699	1.641612827	2.803688955	5.127841211
0.264	0.473144895	1.635726515	2.798308135	5.123471375
0.265	0.466838288	1.629918662	2.792999036	5.119159785
0.266	0.460615742	1.624188223	2.787760703	5.114905664
0.267	0.454476137	1.618534165	2.782592193	5.110708248
0.268	0.448418369	1.612955471	2.777492574	5.106566779
0.269	0.442441344	1.607451136	2.772460928	5.102480512
0.27	0.436543989	1.602020169	2.76749635	5.098448712
0.271	0.43072524	1.596661593	2.762597946	5.094470652
0.272	0.424984049	1.591374441	2.757764833	5.090545616
0.273	0.419319384	1.586157762	2.752996141	5.086672897
0.274	0.413730224	1.581010618	2.748291011	5.082851799
0.275	0.408215562	1.57593208	2.743648597	5.079081632
0.276	0.402774406	1.570921234	2.739068062	5.075361718
0.277	0.397405776	1.565977179	2.734548582	5.071691387
