t	w1	w2	w3	w4
0.152	5.514852255	6.758057717	7.491052736	7.918790588
0.153	5.53647583	6.775621261	7.502342986	7.923346489
0.154	5.55791682	6.792950699	7.513415223	7.927770141
0.155	5.579176767	6.81004915	7.524273657	7.932065385
0.156	5.6002572	6.826919695	7.534922415	7.936235947
0.157	5.621159634	6.84356537	7.545365547	7.940285447
0.158	5.641885573	6.859989173	7.555607023	7.944217399
0.159	5.662436506	6.876194061	7.565650738	7.948035215
0.16	5.682813912	6.892182952	7.575500509	7.951742207
0.161	5.703019256	6.907958726	7.585160082	7.955341594
0.162	5.72305399	6.923524222	7.59463313	7.958836498
0.163	5.742919556	6.938882244	7.603923254	7.962229953
0.164	5.762617381	6.954035557	7.613033987	7.965524903
0.165	5.782148881	6.96898689	7.621968793	7.968724207
0.166	5.801515462	6.983738935	7.630731068	7.971830642
0.167	5.820718516	6.998294347	7.639324144	7.974846905
0.168	5.839759424	7.012655749	7.64775129	7.977775611
0.169	5.858639554	7.026825726	7.656015707	7.980619303
0.17	5.877360265	7.04080683	7.66412054	7.983380449
0.171	5.895922902	7.054601578	7.672068869	7.986061445
0.172	5.9143288	7.068212454	7.679863716	7.988664616
0.173	5.932579283	7.081641909	7.687508046	7.991192224
0.174	5.950675662	7.094892361	7.695004764	7.99364646
0.175	5.96861924	7.107966197	7.702356722	7.996029455
0.176	5.986411306	7.120865769	7.709566713	7.998343276
0.177	6.00405314	7.133593401	7.716637481	8.000589932
0.178	6.02154601	7.146151386	7.723571713	8.002771372
0.179	6.038891174	7.158541983	7.730372045	8.00488949
0.18	6.056089879	7.170767425	7.737041063	8.006946123
0.181	6.073143362	7.182829912	7.743581303	8.008943056
0.182	6.09005285	7.194731617	7.749995252	8.010882023
0.183	6.106819557	7.206474682	7.756285348	8.012764705
0.184	6.123444689	7.218061223	7.762453983	8.014592737
0.185	6.139929443	7.229493325	7.768503502	8.016367705
0.186	6.156275003	7.240773047	7.774436205	8.018091149
0.187	6.172482545	7.251902421	7.780254348	8.019764566
